age,income,budget,credit_score,income_confidence,user_segment,pages_viewed,time_on_site,return_visits,session_count,contact_form_submitted,downloaded_brochure,property_saved,chat_with_agent,traffic_source,converted
30,54753,299566,676,0.96,casual_browser,1,92,0,1,1,0,0,0,google_ads,0
56,99788,555927,749,0.53,curious_researcher,8,273,3,3,0,0,1,0,organic_search,0
34,41316,175399,416,0.59,casual_browser,1,61,0,2,0,0,0,0,referral,0
51,122907,401662,805,0.44,serious_buyer,15,628,4,6,0,0,1,1,referral,1
35,104698,451598,488,0.7,serious_buyer,11,669,7,7,0,0,0,0,organic_search,0
28,35960,132771,775,0.92,impulsive_buyer,5,213,1,3,0,1,0,0,referral,0
34,50791,196743,622,0.6,casual_browser,1,44,0,2,1,0,0,0,referral,0
43,127766,679306,479,0.48,casual_browser,4,43,1,1,0,0,1,0,facebook_ads,0
41,45216,145893,480,0.44,curious_researcher,8,237,1,4,1,0,1,0,facebook_ads,0
36,52467,287663,586,0.67,curious_researcher,9,203,1,3,0,0,1,0,google_ads,0
38,84427,361601,774,0.5,casual_browser,3,72,0,1,1,0,0,1,organic_search,0
44,132470,634291,561,0.61,impulsive_buyer,5,107,1,2,0,0,1,0,google_ads,0
46,82047,268208,822,0.89,curious_researcher,8,157,3,2,1,0,1,0,referral,0
45,93290,374286,461,0.63,casual_browser,1,68,0,1,0,0,0,0,facebook_ads,0
49,67014,219075,786,0.77,casual_browser,2,101,1,2,0,1,1,0,facebook_ads,0
35,24078,141690,480,0.7,casual_browser,3,49,0,1,0,0,1,1,facebook_ads,0
21,98389,533443,768,0.83,serious_buyer,14,853,4,6,0,0,0,0,organic_search,1
45,70519,308795,320,0.49,impulsive_buyer,6,264,2,2,0,0,0,0,referral,0
27,24042,88253,574,0.95,casual_browser,3,96,0,2,0,1,1,0,organic_search,0
29,69052,400526,559,0.79,casual_browser,3,31,0,2,0,0,0,0,facebook_ads,0
44,34389,138717,632,0.56,casual_browser,4,70,0,1,1,0,1,0,organic_search,0
21,115961,403886,765,0.47,curious_researcher,8,206,1,2,1,1,0,0,facebook_ads,0
28,88111,413195,415,0.49,casual_browser,1,94,1,2,1,0,0,0,organic_search,0
44,125058,729253,712,0.87,serious_buyer,15,341,7,7,0,0,0,0,organic_search,0
31,113715,342451,836,0.75,serious_buyer,13,440,5,7,0,0,1,0,facebook_ads,0
37,70733,262728,556,0.63,impulsive_buyer,3,291,1,2,1,0,0,0,referral,0
28,54754,318413,467,0.6,casual_browser,2,104,0,2,0,0,0,0,referral,0
55,38624,135696,832,0.91,casual_browser,3,43,1,2,0,0,0,1,organic_search,0
55,105886,353630,314,0.92,casual_browser,1,96,1,2,1,0,1,1,facebook_ads,0
53,46681,219893,349,0.75,serious_buyer,16,390,3,6,0,0,1,0,google_ads,0
25,109524,611749,603,0.71,curious_researcher,7,131,2,4,0,0,1,0,organic_search,0
59,101006,447590,786,0.89,curious_researcher,7,129,1,4,1,0,1,0,google_ads,0
48,44704,267495,715,0.85,casual_browser,2,81,0,2,1,0,0,1,facebook_ads,0
27,124272,626022,604,0.64,curious_researcher,5,202,2,2,1,0,0,0,referral,0
29,114913,370275,495,0.45,impulsive_buyer,5,220,1,2,0,0,0,1,referral,0
28,114108,682194,687,0.86,serious_buyer,15,869,5,9,1,0,1,0,facebook_ads,1
32,143731,607074,754,0.5,casual_browser,3,101,0,1,1,0,1,1,organic_search,0
54,27493,106183,609,0.41,curious_researcher,7,177,1,3,1,0,1,1,referral,0
53,89639,418940,426,0.91,casual_browser,3,66,1,2,1,0,1,0,organic_search,0
43,120380,471037,474,0.75,casual_browser,2,45,1,2,0,0,1,0,referral,0
44,74383,242441,433,0.93,serious_buyer,16,730,5,7,0,0,0,0,referral,0
57,22994,69080,365,0.69,serious_buyer,16,666,5,6,1,1,0,0,organic_search,1
55,89280,388256,692,0.96,curious_researcher,8,297,1,4,1,0,1,0,facebook_ads,0
42,67234,370499,664,0.61,serious_buyer,18,497,4,7,0,0,1,1,organic_search,0
47,67291,317407,578,0.83,impulsive_buyer,7,110,1,2,1,0,0,1,google_ads,0
55,148674,891690,662,0.58,casual_browser,1,118,1,1,0,0,1,0,referral,0
21,112868,435731,470,0.4,serious_buyer,11,421,6,5,0,0,0,0,referral,0
55,25594,98315,350,0.63,curious_researcher,7,189,1,2,0,0,0,0,organic_search,0
57,125835,437811,627,0.84,curious_researcher,6,248,1,4,0,1,1,0,facebook_ads,0
34,27371,95584,444,0.49,curious_researcher,7,297,2,3,0,0,1,0,referral,0
23,67315,259537,573,0.7,impulsive_buyer,6,164,2,2,1,0,0,1,google_ads,0
21,103564,557021,454,0.53,serious_buyer,18,425,7,9,0,0,0,1,google_ads,0
25,147251,841873,807,0.44,serious_buyer,18,800,7,9,0,1,1,1,organic_search,1
46,121448,719611,662,0.77,impulsive_buyer,5,225,2,2,1,1,0,0,referral,0
34,99526,367934,624,0.97,serious_buyer,10,796,6,7,0,1,0,0,facebook_ads,1
59,132387,747178,597,0.59,serious_buyer,10,806,6,5,1,0,0,0,facebook_ads,1
47,36626,145946,793,0.75,serious_buyer,18,516,4,7,1,0,0,0,organic_search,1
29,106005,353899,845,0.97,impulsive_buyer,5,195,1,3,0,0,1,1,referral,0
35,126258,708316,603,0.79,impulsive_buyer,4,147,1,2,1,0,0,0,facebook_ads,0
35,125573,616352,766,0.8,curious_researcher,5,255,3,4,1,1,0,0,organic_search,1
46,27130,94797,538,0.51,impulsive_buyer,3,158,1,2,1,0,1,0,referral,0
33,26828,115078,816,0.7,impulsive_buyer,6,231,1,3,0,0,1,0,facebook_ads,0
52,77514,299341,475,0.62,curious_researcher,6,168,2,2,0,0,0,0,google_ads,0
59,127148,662489,709,0.68,impulsive_buyer,4,299,2,2,0,0,0,0,referral,0
52,132524,577837,663,0.88,serious_buyer,11,368,4,7,1,0,0,0,organic_search,1
24,124635,743801,322,0.68,casual_browser,1,95,0,2,1,0,0,0,facebook_ads,0
50,72664,229925,617,0.44,curious_researcher,7,275,3,2,1,0,0,0,facebook_ads,0
57,131701,535370,824,0.94,casual_browser,3,104,1,2,0,0,0,1,organic_search,0
43,37883,168416,575,0.73,casual_browser,4,69,1,1,0,0,1,0,referral,0
59,63059,284358,528,0.95,curious_researcher,6,263,2,4,0,1,1,0,referral,0
35,104078,410879,407,0.74,casual_browser,3,92,1,2,0,0,1,1,google_ads,0
49,62932,326473,475,0.44,casual_browser,4,57,0,2,1,0,1,0,facebook_ads,0
56,149900,843073,619,0.73,curious_researcher,9,204,2,2,0,0,1,1,organic_search,0
33,81269,472673,585,0.75,curious_researcher,6,221,2,3,0,0,0,0,google_ads,0
52,139850,757326,628,0.53,serious_buyer,15,688,7,7,1,1,0,0,facebook_ads,1
27,95986,532889,655,0.68,curious_researcher,7,210,2,3,0,1,1,1,facebook_ads,0
42,105959,492882,313,0.68,impulsive_buyer,3,255,2,3,1,0,1,1,facebook_ads,0
48,22035,120700,574,0.77,casual_browser,4,44,1,1,0,0,0,1,organic_search,0
22,129767,507455,370,0.56,curious_researcher,6,192,3,3,1,0,0,0,organic_search,0
26,60745,254851,494,0.75,serious_buyer,13,879,4,9,0,0,1,0,organic_search,0
48,37241,147129,822,0.54,curious_researcher,9,253,2,3,0,1,0,0,google_ads,0
48,72975,321247,405,0.67,casual_browser,3,41,0,1,1,0,0,0,facebook_ads,0
40,43154,166433,495,0.47,curious_researcher,5,126,1,3,1,0,0,0,facebook_ads,0
50,45625,268495,444,0.42,casual_browser,3,113,1,1,0,0,0,1,google_ads,0
31,64950,255807,649,0.59,curious_researcher,7,269,2,3,1,0,0,0,google_ads,0
48,118602,390690,723,0.56,serious_buyer,17,540,3,7,1,0,0,1,organic_search,1
45,76396,349928,770,0.64,impulsive_buyer,4,295,2,3,0,1,1,1,facebook_ads,0
59,119227,378104,515,0.98,serious_buyer,13,717,6,7,1,0,0,0,referral,1
53,138920,462829,392,0.71,curious_researcher,6,252,1,4,0,1,1,0,referral,0
21,33331,121930,559,0.73,casual_browser,4,30,1,1,0,0,0,0,google_ads,0
47,83927,368695,840,0.96,serious_buyer,16,332,6,9,0,0,0,0,google_ads,0
33,106226,456745,584,0.95,impulsive_buyer,7,165,2,3,0,0,1,0,google_ads,0
23,104719,565385,783,0.93,impulsive_buyer,3,138,1,3,0,0,1,0,referral,0
59,83014,433202,671,0.46,casual_browser,3,58,1,2,0,0,1,0,referral,0
26,59346,253938,369,0.78,curious_researcher,8,222,1,3,0,0,0,0,organic_search,0
28,90411,361744,678,0.88,serious_buyer,14,513,5,7,0,0,0,0,organic_search,0
47,74478,294143,578,0.9,serious_buyer,10,894,5,9,0,0,1,0,facebook_ads,0
29,32254,171655,601,0.75,casual_browser,1,93,1,2,0,0,0,1,organic_search,0
57,75734,239032,554,0.41,serious_buyer,17,799,5,6,0,0,1,1,facebook_ads,0
53,48621,147733,563,0.98,casual_browser,1,68,1,1,1,1,0,1,organic_search,0
44,136490,735221,723,0.68,casual_browser,1,61,0,1,0,0,1,0,organic_search,0
35,96441,427372,512,0.64,curious_researcher,6,201,2,4,0,0,1,0,organic_search,0
52,66121,224324,399,0.64,casual_browser,2,117,0,2,0,0,0,0,referral,0
52,147386,546315,411,0.65,serious_buyer,14,865,7,8,1,1,0,0,referral,1
44,101418,587972,607,0.55,casual_browser,4,108,0,1,0,1,1,0,google_ads,0
32,80197,447379,774,0.6,serious_buyer,14,337,7,9,0,0,1,0,organic_search,0
59,104577,536412,847,0.99,casual_browser,4,91,1,1,1,1,0,0,referral,0
22,114634,509740,411,0.62,curious_researcher,6,164,1,2,0,1,0,0,facebook_ads,0
23,138034,629569,386,0.72,curious_researcher,8,265,2,2,0,0,0,1,organic_search,0
57,62431,369949,482,0.91,casual_browser,2,119,1,2,1,0,0,0,referral,0
37,137637,811688,464,0.72,casual_browser,1,63,0,1,0,0,0,0,google_ads,0
22,119245,434744,389,0.59,casual_browser,2,51,0,1,0,0,1,1,google_ads,0
22,120211,653144,754,0.71,curious_researcher,8,233,2,2,0,0,0,1,facebook_ads,0
48,24837,89207,537,0.47,impulsive_buyer,5,103,2,2,0,0,1,1,facebook_ads,0
43,131984,480502,833,0.48,casual_browser,2,70,1,1,0,0,1,0,referral,0
57,110025,553236,357,0.82,impulsive_buyer,4,245,2,2,0,0,0,0,google_ads,0
52,103163,434832,841,0.95,casual_browser,2,65,1,2,0,1,0,0,referral,0
53,91232,528655,701,0.84,serious_buyer,13,584,6,7,0,0,1,0,organic_search,1
21,68994,225405,818,0.44,curious_researcher,5,204,2,2,1,0,0,1,facebook_ads,0
39,99079,449281,496,0.64,impulsive_buyer,7,254,2,2,1,1,0,0,facebook_ads,0
22,32615,187717,345,0.4,impulsive_buyer,7,160,2,3,0,0,1,0,organic_search,0
46,21466,122621,829,0.71,curious_researcher,6,251,1,4,0,0,0,0,organic_search,0
52,50771,176154,696,0.52,impulsive_buyer,5,147,2,3,0,0,0,0,organic_search,0
26,138645,568432,373,0.92,casual_browser,4,88,1,2,0,1,0,1,google_ads,0
52,103886,504612,715,0.46,impulsive_buyer,6,118,1,2,1,0,1,0,google_ads,0
24,85911,298814,634,0.4,casual_browser,3,71,1,1,1,0,0,0,organic_search,0
31,118566,700021,595,0.67,impulsive_buyer,3,294,2,3,0,1,0,0,facebook_ads,0
37,40746,234055,383,0.49,serious_buyer,17,745,7,9,0,0,0,0,facebook_ads,0
58,108422,379569,314,0.84,impulsive_buyer,6,186,2,2,1,0,1,0,google_ads,0
44,129884,436860,433,0.95,impulsive_buyer,4,172,2,3,1,0,1,0,google_ads,0
25,80739,262904,777,0.43,casual_browser,3,42,1,1,0,0,0,0,facebook_ads,0
54,128440,735746,618,0.64,curious_researcher,9,202,1,4,0,0,1,0,referral,0
26,118187,423212,691,1.0,serious_buyer,13,641,7,5,0,1,0,1,google_ads,1
42,93369,396711,778,0.84,curious_researcher,6,256,1,3,1,0,0,1,google_ads,0
31,21893,95159,667,0.97,casual_browser,4,110,0,1,0,0,1,0,facebook_ads,0
36,50573,242600,666,0.5,serious_buyer,13,514,5,6,1,0,0,0,organic_search,0
53,116907,375880,587,0.53,impulsive_buyer,4,217,1,2,0,0,1,0,facebook_ads,0
29,60874,224033,677,0.49,curious_researcher,6,149,1,4,1,0,1,0,google_ads,0
26,97362,564161,762,0.58,curious_researcher,9,201,3,2,0,0,0,0,organic_search,0
36,119956,686775,312,0.83,curious_researcher,9,253,3,2,0,1,1,0,referral,0
49,107460,574252,835,0.5,impulsive_buyer,4,269,1,3,0,0,0,1,organic_search,0
23,147021,449620,467,0.71,casual_browser,2,60,0,1,0,1,0,0,referral,0
40,138580,551689,569,0.56,impulsive_buyer,3,100,2,3,0,1,1,0,facebook_ads,0
56,53367,260637,369,0.9,impulsive_buyer,5,299,1,3,0,0,1,0,organic_search,0
39,41199,157609,617,0.4,casual_browser,2,45,0,1,0,0,0,0,organic_search,0
46,136600,782548,675,0.53,casual_browser,4,37,0,1,0,0,1,0,facebook_ads,0
23,111404,546065,388,0.76,impulsive_buyer,4,106,1,2,0,0,1,0,referral,0
39,94328,303332,556,0.46,casual_browser,4,32,1,1,0,0,0,0,referral,0
40,77724,445126,516,0.68,curious_researcher,5,216,2,3,0,0,1,0,referral,0
52,106133,623350,749,0.66,serious_buyer,12,628,5,6,0,0,0,1,organic_search,0
27,56405,182365,843,0.91,casual_browser,1,78,0,1,0,0,0,1,organic_search,0
53,118232,543522,440,0.78,serious_buyer,12,610,4,5,0,0,1,1,referral,0
59,128659,503068,460,0.78,curious_researcher,8,159,2,3,0,0,0,0,referral,0
38,35989,150380,331,0.97,casual_browser,3,69,1,1,0,0,1,0,facebook_ads,0
21,48931,173164,451,0.99,impulsive_buyer,6,204,2,2,0,0,0,0,referral,0
31,29290,138665,559,0.79,impulsive_buyer,3,195,1,2,1,1,0,1,facebook_ads,0
48,58367,342844,578,0.71,curious_researcher,8,296,3,4,0,0,1,0,referral,0
45,141136,636412,584,0.76,casual_browser,2,30,0,2,0,1,0,0,referral,0
43,99878,324478,841,0.63,impulsive_buyer,5,282,1,2,1,0,0,1,referral,0
51,110477,536918,447,0.99,casual_browser,4,62,0,2,0,0,1,0,google_ads,0
50,99481,399980,366,0.82,serious_buyer,15,499,6,5,0,0,1,1,google_ads,0
55,96298,536165,578,0.57,impulsive_buyer,7,221,1,3,0,1,0,1,facebook_ads,0
27,146299,629675,742,0.43,curious_researcher,6,224,2,3,1,0,0,1,referral,0
36,50133,179401,698,0.43,impulsive_buyer,4,262,2,3,1,1,0,0,google_ads,0
46,132616,473878,427,0.52,curious_researcher,8,179,1,2,1,0,1,0,referral,0
22,125686,666926,636,0.54,curious_researcher,7,152,1,4,1,0,0,0,facebook_ads,0
21,47052,178645,781,0.65,serious_buyer,19,369,7,6,1,0,0,0,referral,0
32,127286,674832,485,0.53,serious_buyer,16,562,4,6,1,1,1,0,referral,1
25,105489,381623,468,0.78,curious_researcher,5,125,2,2,0,1,0,0,google_ads,0
57,60475,239786,559,0.53,impulsive_buyer,6,242,1,2,0,0,0,0,referral,0
52,102666,451367,806,0.51,curious_researcher,6,252,1,3,1,1,0,0,google_ads,0
29,116622,679858,820,0.68,casual_browser,3,75,0,2,1,0,1,0,organic_search,0
55,77656,450031,770,0.93,casual_browser,1,39,1,2,0,0,0,1,google_ads,0
39,24633,89186,460,0.68,impulsive_buyer,7,184,2,2,0,0,0,1,organic_search,0
36,37304,152001,588,0.65,impulsive_buyer,3,114,2,3,1,0,1,0,google_ads,0
23,127573,439896,639,0.75,serious_buyer,12,636,6,6,0,0,1,0,organic_search,1
40,117820,533719,801,0.55,casual_browser,2,108,0,1,0,1,0,0,google_ads,0
44,66546,291587,405,0.61,curious_researcher,5,239,2,3,0,0,0,0,referral,0
53,27008,154007,774,0.53,curious_researcher,5,183,2,3,0,1,0,0,google_ads,0
44,68291,395405,762,0.74,casual_browser,3,66,1,2,0,1,0,0,organic_search,0
31,47405,196764,782,0.82,casual_browser,4,119,1,1,1,1,0,1,organic_search,0
28,137069,613413,452,0.8,serious_buyer,15,878,3,8,0,0,0,0,facebook_ads,0
56,56386,320763,448,0.55,casual_browser,1,96,0,2,1,0,1,0,referral,0
58,110909,601140,487,0.87,serious_buyer,16,642,4,7,1,0,0,1,referral,1
40,40827,122928,430,0.55,impulsive_buyer,6,253,2,3,1,1,0,1,facebook_ads,0
55,53040,210047,751,0.49,impulsive_buyer,4,112,2,3,1,0,0,0,organic_search,0
45,80354,342735,815,0.61,casual_browser,4,93,0,2,0,0,1,0,google_ads,0
55,98543,363539,790,0.76,casual_browser,2,89,1,2,0,0,0,0,facebook_ads,0
45,38157,137316,775,0.49,casual_browser,4,57,0,1,1,0,1,0,facebook_ads,0
49,117693,366419,562,0.79,casual_browser,3,92,1,1,0,0,0,1,facebook_ads,0
38,55315,272708,837,0.92,curious_researcher,8,147,3,3,0,0,1,0,facebook_ads,0
38,55932,211844,758,0.58,curious_researcher,5,276,3,3,0,0,0,0,facebook_ads,0
22,41164,129956,835,0.67,impulsive_buyer,4,188,1,2,1,1,0,0,organic_search,0
55,34414,127088,594,0.54,curious_researcher,8,181,3,4,1,0,1,0,facebook_ads,0
36,147597,797871,734,0.62,casual_browser,3,75,1,2,1,0,0,0,organic_search,0
56,34327,190668,574,0.41,serious_buyer,19,323,6,5,1,0,0,0,organic_search,0
53,133880,595658,607,0.97,impulsive_buyer,5,101,1,2,1,1,0,0,google_ads,0
24,20946,88983,675,0.65,casual_browser,4,50,0,2,0,1,0,1,facebook_ads,0
53,34693,205853,457,0.87,curious_researcher,9,143,1,3,0,1,1,0,facebook_ads,0
34,47241,170147,503,0.49,serious_buyer,11,417,7,7,1,0,0,0,google_ads,0
41,135194,492927,374,0.89,serious_buyer,16,644,6,8,0,1,0,0,referral,1
40,115790,448755,679,0.92,curious_researcher,7,227,2,4,1,0,0,1,referral,0
28,35540,125039,603,0.83,casual_browser,3,53,0,2,1,0,0,1,facebook_ads,0
27,92255,381760,361,0.94,serious_buyer,12,680,7,8,1,0,0,1,referral,1
23,84757,485869,407,0.5,serious_buyer,19,885,6,8,1,0,0,0,facebook_ads,1
37,61203,296592,486,0.69,curious_researcher,7,239,1,4,0,0,0,0,referral,0
53,45081,190955,528,0.77,serious_buyer,17,400,7,6,0,0,1,0,organic_search,0
32,81861,475058,347,0.76,serious_buyer,14,310,5,6,0,1,0,0,referral,0
42,31350,98608,567,0.92,serious_buyer,17,318,6,6,0,0,1,0,referral,0
42,75512,274171,553,0.53,impulsive_buyer,7,239,2,2,0,0,1,0,organic_search,0
50,76809,360823,386,0.51,casual_browser,1,50,0,1,0,0,0,0,google_ads,0
58,121894,590778,480,0.55,casual_browser,2,58,0,1,1,0,0,0,organic_search,0
58,117557,366621,324,0.93,curious_researcher,8,177,1,4,0,0,0,0,referral,0
28,62832,264467,687,0.96,casual_browser,4,52,0,2,0,0,0,0,facebook_ads,0
47,48369,239303,521,0.74,serious_buyer,19,672,6,6,0,1,1,0,facebook_ads,1
47,51728,263513,696,0.7,casual_browser,2,68,0,1,0,1,1,0,referral,0
54,37576,184664,810,0.76,impulsive_buyer,6,194,2,2,0,0,0,0,google_ads,0
41,49001,194126,739,0.77,serious_buyer,16,859,6,8,0,0,0,1,facebook_ads,0
50,147625,484292,474,0.5,serious_buyer,18,859,7,7,1,0,1,0,google_ads,1
53,103384,442621,610,0.81,impulsive_buyer,7,252,1,2,0,0,0,0,facebook_ads,0
48,20390,69045,573,0.67,impulsive_buyer,5,203,1,2,0,0,1,0,google_ads,0
53,107535,628313,334,0.71,casual_browser,2,92,0,2,0,0,0,0,facebook_ads,0
25,65436,289587,516,0.42,casual_browser,1,60,1,2,0,0,0,0,facebook_ads,0
39,31569,124753,707,0.86,casual_browser,1,97,0,1,1,0,1,0,facebook_ads,0
24,33029,175017,818,0.9,impulsive_buyer,4,143,1,2,1,0,0,0,facebook_ads,0
55,42490,190943,568,0.77,casual_browser,2,56,1,2,1,1,1,0,referral,0
37,65875,258895,774,0.85,curious_researcher,9,178,2,4,0,1,0,0,facebook_ads,0
48,143552,780334,624,0.71,casual_browser,2,32,0,1,0,1,1,0,google_ads,0
50,120864,677014,655,0.77,impulsive_buyer,4,115,1,2,0,1,1,0,google_ads,0
49,25867,129827,389,0.64,impulsive_buyer,3,271,2,2,0,0,0,0,organic_search,0
26,100820,316664,341,0.88,curious_researcher,7,241,3,3,0,0,0,1,google_ads,0
55,119515,561597,664,0.68,serious_buyer,15,894,7,9,1,0,1,0,facebook_ads,1
57,29121,154046,501,0.81,curious_researcher,7,209,3,4,0,1,1,0,google_ads,0
44,21539,73437,665,0.77,impulsive_buyer,3,134,1,2,0,1,1,0,facebook_ads,0
49,111024,409235,587,0.82,serious_buyer,19,811,3,7,0,0,1,0,facebook_ads,1
51,37027,209109,780,0.87,curious_researcher,5,220,1,4,1,0,0,0,organic_search,0
55,147402,451103,800,0.71,curious_researcher,6,231,2,3,0,0,1,0,referral,0
53,94229,495473,351,0.89,serious_buyer,10,746,5,7,0,0,0,0,google_ads,0
41,28921,127868,402,0.7,curious_researcher,5,167,2,4,0,1,0,0,google_ads,0
52,70435,305710,660,0.97,serious_buyer,18,744,7,6,0,1,0,1,facebook_ads,1
43,142368,430134,723,0.85,casual_browser,2,119,0,1,0,0,1,0,google_ads,0
53,30310,165437,504,0.5,serious_buyer,17,808,5,6,0,0,0,0,google_ads,0
23,83965,342533,313,0.9,curious_researcher,8,177,3,3,0,0,1,0,referral,0
38,142033,656518,769,0.73,casual_browser,1,118,0,1,0,1,1,0,google_ads,0
45,131048,659420,765,0.99,impulsive_buyer,7,223,2,3,0,1,1,0,facebook_ads,0
51,116444,594782,603,0.83,impulsive_buyer,4,227,2,3,1,0,0,1,referral,0
23,89922,527656,726,0.45,impulsive_buyer,3,184,1,2,0,0,0,0,google_ads,0
44,117799,541170,409,0.64,curious_researcher,6,129,1,3,0,0,0,0,facebook_ads,0
52,113948,478485,814,0.71,casual_browser,1,87,1,1,0,0,1,0,facebook_ads,0
42,102839,602750,367,0.9,serious_buyer,16,594,4,6,1,1,0,0,google_ads,1
43,32242,158834,545,0.84,impulsive_buyer,5,242,1,2,0,0,1,1,referral,0
22,137027,533644,688,0.62,impulsive_buyer,3,178,1,2,0,0,0,0,organic_search,0
47,132561,447975,607,0.79,casual_browser,2,101,1,1,1,0,1,0,facebook_ads,0
22,28947,160009,651,0.75,casual_browser,4,96,0,1,0,0,0,0,google_ads,0
46,132250,540445,365,0.48,casual_browser,2,93,0,2,0,0,1,1,organic_search,0
